Date,Open,High,Low,Close,Adj Close,Volume
03-01-2012,14.621429,14.732143,14.607143,14.686786,12.591936,302220800
04-01-2012,14.642857,14.81,14.617143,14.765714,12.659608,260022000
05-01-2012,14.819643,14.948214,14.738214,14.929643,12.800155,271269600
06-01-2012,14.991786,15.098214,14.972143,15.085714,12.933964,318292800
09-01-2012,15.196429,15.276786,15.048214,15.061786,12.913449,394024400
10-01-2012,15.211071,15.214286,15.053571,15.115714,12.959685,258196400
11-01-2012,15.095714,15.101786,14.975357,15.091071,12.938559,215084800
12-01-2012,15.081429,15.103571,14.955357,15.049643,12.903039,212587200
13-01-2012,14.989286,15.016071,14.952143,14.993214,12.854656,226021600
17-01-2012,15.15,15.213929,15.105714,15.167857,13.004391,242897200
18-01-2012,15.248571,15.338214,15.225,15.325357,13.139426,276791200
19-01-2012,15.3625,15.406071,15.2325,15.276786,13.097783,261738400
20-01-2012,15.2675,15.267857,14.991071,15.010714,12.869661,413974400
23-01-2012,15.095357,15.301786,15.082143,15.264643,13.08737,306062400
24-01-2012,15.182143,15.182143,14.983929,15.014643,12.87303,547638000
25-01-2012,16.23,16.230356,15.8475,15.952143,13.676806,958314000
26-01-2012,16.012857,16.028214,15.826429,15.879643,13.614655,323985200
27-01-2012,15.869286,16.017143,15.848929,15.974286,13.695793,299709200
30-01-2012,15.918214,16.210714,15.906786,16.178928,13.871247,379341200
31-01-2012,16.27107,16.365713,16.18107,16.302856,13.977498,391683600
01-02-2012,16.371786,16.3925,16.269644,16.2925,13.968625,270046000
02-02-2012,16.282143,16.327499,16.213572,16.254286,13.935858,186796400
03-02-2012,16.332144,16.428572,16.27,16.417143,14.075484,286599600
06-02-2012,16.370714,16.606428,16.364286,16.570356,14.206845,249412800
07-02-2012,16.616072,16.776787,16.592142,16.743929,14.355659,316223600
08-02-2012,16.803572,17.028214,16.775,17.024286,14.596033,407890000
09-02-2012,17.17,17.741072,17.162857,17.613214,15.100954,884214800
10-02-2012,17.534286,17.772142,17.448214,17.622143,15.108611,631302000
13-02-2012,17.840357,17.993929,17.753214,17.950001,15.389709,517216000
14-02-2012,18.023571,18.19857,17.928572,18.195,15.599759,460398400
15-02-2012,18.366428,18.79607,17.746071,17.77393,15.238744,1506120000
16-02-2012,17.553572,18.031786,17.379642,17.936071,15.377762,944552000
17-02-2012,17.968214,18.134644,17.867857,17.932858,15.375004,535805200
21-02-2012,18.102858,18.387501,18.004286,18.387501,15.764799,605595200
22-02-2012,18.324286,18.410357,18.18107,18.322857,15.709383,483302400
23-02-2012,18.395714,18.493929,18.196428,18.442499,15.811954,568027600
24-02-2012,18.559643,18.674999,18.522858,18.657499,15.996289,415072000
27-02-2012,18.618214,18.875,18.438572,18.777143,16.098866,547582000
